date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:59:01	163/163	---M-Z	200	added ('OK')	text/plain	etag:%2226854c25-aae1-4452-ac8a-f6b3e3d97a3f%22	http://usa.philkuo.com/robots.txt		(from )
23:59:02	148035/148035	---M-Z	200	added ('OK')	text/html	etag:%2226854c25-aae1-4452-ac8a-f6b3e3d97a3f%22	http://usa.philkuo.com/	C:/Users/Philip/Desktop/test/Phil's%20Blog/usa.philkuo.com/index.html	(from )
23:59:02	1150/1150	---M-Z	200	added ('OK')	image/x-icon	etag:%2226854c25-aae1-4452-ac8a-f6b3e3d97a3f%22	http://usa.philkuo.com/favicon.ico	C:/Users/Philip/Desktop/test/Phil's%20Blog/usa.philkuo.com/favicon.ico	(from http://usa.philkuo.com/)
23:59:04	1803/1803	---M--	200	added ('OK')	image/png	etag:%22v30a2%22	https://lh5.googleusercontent.com/-V8kShYT0ae8/UloKt3DhEUI/AAAAAAAAMKI/0DMcYShEbU8/s57-no/blackorchid+-+Copy+%25282%2529.png	C:/Users/Philip/Desktop/test/Phil's%20Blog/lh5.googleusercontent.com/-V8kShYT0ae8/UloKt3DhEUI/AAAAAAAAMKI/0DMcYShEbU8/s57-no/blackorchid%20-%20Copy%20(2).png	(from http://usa.philkuo.com/)
23:59:04	2541/2541	---M--	200	added ('OK')	image/png	etag:%22v309f%22	https://lh5.googleusercontent.com/-N7te_uSinII/UloKt-ayWJI/AAAAAAAAMJ8/UHaq3X19HjA/s72-no/blackorchid+-+Copy.png	C:/Users/Philip/Desktop/test/Phil's%20Blog/lh5.googleusercontent.com/-N7te_uSinII/UloKt-ayWJI/AAAAAAAAMJ8/UHaq3X19HjA/s72-no/blackorchid%20-%20Copy.png	(from http://usa.philkuo.com/)
23:59:06	9827/9827	---M--	200	added ('OK')	image/png	etag:%22v30a0%22	https://lh5.googleusercontent.com/-Pyqx-8Srq-8/UloKt9Ryz7I/AAAAAAAAMKA/0tCxt3bwXr4/s144-no/blackorchid.png	C:/Users/Philip/Desktop/test/Phil's%20Blog/lh5.googleusercontent.com/-Pyqx-8Srq-8/UloKt9Ryz7I/AAAAAAAAMKA/0tCxt3bwXr4/s144-no/blackorchid.png	(from http://usa.philkuo.com/)
23:59:07	29778/29778	---MC-	200	added ('OK')	text/css	date:Tue,%2003%20Mar%202015%2021:21:31%20GMT	https://www.blogger.com/static/v1/widgets/728935430-widget_css_bundle.css	C:/Users/Philip/Desktop/test/Phil's%20Blog/www.blogger.com/static/v1/widgets/728935430-widget_css_bundle.css	(from http://usa.philkuo.com/)
23:59:14	1/1	---MC-	200	added ('OK')	text/css	date:Sun,%2008%20Mar%202015%2015:59:12%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=19188332184103886&zx=26854c25-aae1-4452-ac8a-f6b3e3d97a3f	C:/Users/Philip/Desktop/test/Phil's%20Blog/www.blogger.com/dyn-css/authorization9f42.css	(from http://usa.philkuo.com/)
23:59:16	1177368/1177368	---M-Z	200	added ('OK')	application/atom+xml	etag:W/%2226854c25-aae1-4452-ac8a-f6b3e3d97a3f%22	http://usa.philkuo.com/feeds/posts/default	C:/Users/Philip/Desktop/test/Phil's%20Blog/usa.philkuo.com/feeds/posts/default	(from http://usa.philkuo.com/)
23:59:18	25462/25462	---MC-	200	added ('OK')	text/javascript	date:Thu,%2005%20Feb%202015%2017:35:24%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/Philip/Desktop/test/Phil's%20Blog/www.google-analytics.com/analytics.js	(from http://usa.philkuo.com/)
