# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,app_version,current_device_installs,daily_device_installs,daily_device_uninstalls,daily_device_upgrades,current_user_installs,total_user_installs,daily_user_installs,daily_user_uninstalls
20140214,12,15,0,0,0,15,17,0,0
20140214,10,3,0,0,0,3,10,0,0
20140213,12,15,0,0,0,15,17,0,0
20140213,10,3,0,0,0,3,10,0,0
20140212,12,15,0,0,0,15,17,0,0
20140212,10,3,0,0,0,3,10,0,0
20140211,12,15,0,0,0,15,17,0,0
20140211,10,3,0,0,0,3,10,0,0
20140210,12,15,0,0,1,15,17,0,0
20140210,10,3,0,0,0,3,10,0,0
20140209,12,14,1,1,1,14,16,1,1
20140209,10,4,0,0,0,4,11,0,0
20140208,12,13,0,0,0,13,14,0,0
20140208,10,5,0,0,0,5,12,0,0
20140207,12,13,0,0,0,13,14,0,0
20140207,10,5,0,0,0,5,12,0,0
20140206,12,13,0,0,0,13,14,0,0
20140206,10,5,0,0,0,5,12,0,0
20140205,12,13,0,0,0,13,14,0,0
20140205,10,5,0,0,0,5,12,0,0
20140204,12,12,0,0,0,12,13,0,0
20140204,10,6,0,0,0,6,13,0,0
20140203,12,12,0,0,1,12,13,0,0
20140203,10,6,0,0,0,6,13,0,0
20140202,12,11,1,1,0,11,12,1,1
20140202,10,7,0,0,0,7,14,0,0
20140201,12,11,0,0,2,11,11,0,0
20140201,10,7,0,0,0,7,14,0,0
20140131,12,9,0,0,5,9,9,0,0
20140131,10,9,0,0,0,9,16,0,0
20140130,12,4,0,0,4,4,4,0,0
20140130,10,13,0,0,0,13,21,0,0
20140129,10,17,1,2,0,17,25,1,2
20140128,10,18,0,1,0,18,24,0,1
20140127,10,19,2,0,0,19,24,2,0
20140126,10,17,2,1,0,17,22,2,1
20140125,10,16,1,1,0,16,20,1,1
20140124,10,16,0,0,0,16,19,0,0
20140123,10,16,0,0,0,16,19,0,0
20140122,10,16,0,0,0,16,19,0,0
20140121,10,16,2,0,0,16,19,2,0
20140120,10,14,1,1,0,14,17,1,1
20140119,10,14,3,1,0,14,16,3,1
20140118,10,12,0,0,0,12,13,0,0
20140117,10,12,4,0,0,12,13,4,0
20140116,10,8,9,1,0,8,9,9,1
