# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,carrier,current_device_installs,daily_device_installs,daily_device_uninstalls,daily_device_upgrades,current_user_installs,total_user_installs,daily_user_installs,daily_user_uninstalls
20140214,Verizon Wireless,2,0,0,0,2,3,0,0
20140214,UNKNOWN,3,0,0,0,3,5,0,0
20140214,Taiwan Mobile Co. Ltd,2,0,0,0,2,3,0,0
20140214,T-Mobile - US,0,0,0,0,0,1,0,0
20140214,Rogers,0,0,0,0,0,1,0,0
20140214,KT,0,0,0,0,0,1,0,0
20140214,Chungwa Telecom,10,0,0,0,10,11,0,0
20140214,Airtel,0,0,0,0,0,1,0,0
20140214,AT&T,1,0,0,0,1,1,0,0
20140213,Verizon Wireless,2,0,0,0,2,3,0,0
20140213,UNKNOWN,2,0,0,0,2,4,0,0
20140213,Taiwan Mobile Co. Ltd,2,0,0,0,2,3,0,0
20140213,T-Mobile - US,0,0,0,0,0,1,0,0
20140213,Rogers,0,0,0,0,0,1,0,0
20140213,KT,0,0,0,0,0,1,0,0
20140213,Chungwa Telecom,10,0,0,0,10,11,0,0
20140213,Airtel,0,0,0,0,0,1,0,0
20140213,AT&T,2,0,0,0,2,2,0,0
20140212,Verizon Wireless,2,0,0,0,2,3,0,0
20140212,UNKNOWN,2,0,0,0,2,4,0,0
20140212,Taiwan Mobile Co. Ltd,2,0,0,0,2,3,0,0
20140212,T-Mobile - US,0,0,0,0,0,1,0,0
20140212,Rogers,0,0,0,0,0,1,0,0
20140212,KT,0,0,0,0,0,1,0,0
20140212,Chungwa Telecom,10,0,0,0,10,11,0,0
20140212,Airtel,0,0,0,0,0,1,0,0
20140212,AT&T,2,0,0,0,2,2,0,0
20140211,Verizon Wireless,2,0,0,0,2,3,0,0
20140211,UNKNOWN,2,0,0,0,2,4,0,0
20140211,Taiwan Mobile Co. Ltd,2,0,0,0,2,3,0,0
20140211,T-Mobile - US,0,0,0,0,0,1,0,0
20140211,Rogers,0,0,0,0,0,1,0,0
20140211,KT,0,0,0,0,0,1,0,0
20140211,Chungwa Telecom,10,0,0,0,10,11,0,0
20140211,Airtel,0,0,0,0,0,1,0,0
20140211,AT&T,2,0,0,0,2,2,0,0
20140210,Verizon Wireless,2,0,0,0,2,3,0,0
20140210,UNKNOWN,2,0,0,0,2,4,0,0
20140210,Taiwan Mobile Co. Ltd,2,0,0,0,2,3,0,0
20140210,T-Mobile - US,0,0,0,0,0,1,0,0
20140210,Rogers,0,0,0,0,0,1,0,0
20140210,KT,0,0,0,0,0,1,0,0
20140210,Chungwa Telecom,10,0,0,1,10,11,0,0
20140210,Airtel,0,0,0,0,0,1,0,0
20140210,AT&T,2,0,0,0,2,2,0,0
20140209,Verizon Wireless,2,0,0,0,2,3,0,0
20140209,UNKNOWN,2,0,1,1,2,4,0,1
20140209,Taiwan Mobile Co. Ltd,2,0,0,0,2,3,0,0
20140209,T-Mobile - US,0,0,0,0,0,1,0,0
20140209,Rogers,0,0,0,0,0,1,0,0
20140209,KT,0,0,0,0,0,1,0,0
20140209,Chungwa Telecom,10,1,0,0,10,11,1,0
20140209,Airtel,0,0,0,0,0,1,0,0
20140209,AT&T,2,0,0,0,2,2,0,0
20140208,Verizon Wireless,2,0,0,0,2,3,0,0
20140208,UNKNOWN,3,0,0,0,3,4,0,0
20140208,Taiwan Mobile Co. Ltd,2,0,0,0,2,3,0,0
20140208,T-Mobile - US,0,0,0,0,0,1,0,0
20140208,Rogers,0,0,0,0,0,1,0,0
20140208,KT,0,0,0,0,0,1,0,0
20140208,Chungwa Telecom,9,0,0,0,9,10,0,0
20140208,Airtel,0,0,0,0,0,1,0,0
20140208,AT&T,2,0,0,0,2,2,0,0
20140207,Verizon Wireless,2,0,0,0,2,3,0,0
20140207,UNKNOWN,3,0,0,0,3,4,0,0
20140207,Taiwan Mobile Co. Ltd,2,0,0,0,2,3,0,0
20140207,T-Mobile - US,0,0,0,0,0,1,0,0
20140207,Rogers,0,0,0,0,0,1,0,0
20140207,KT,0,0,0,0,0,1,0,0
20140207,Chungwa Telecom,9,0,0,0,9,10,0,0
20140207,Airtel,0,0,0,0,0,1,0,0
20140207,AT&T,2,0,0,0,2,2,0,0
20140206,Verizon Wireless,2,0,0,0,2,3,0,0
20140206,UNKNOWN,3,0,0,0,3,4,0,0
20140206,Taiwan Mobile Co. Ltd,2,0,0,0,2,3,0,0
20140206,T-Mobile - US,0,0,0,0,0,1,0,0
20140206,Rogers,0,0,0,0,0,1,0,0
20140206,KT,0,0,0,0,0,1,0,0
20140206,Chungwa Telecom,9,0,0,0,9,10,0,0
20140206,Airtel,0,0,0,0,0,1,0,0
20140206,AT&T,2,0,0,0,2,2,0,0
20140205,Verizon Wireless,2,0,0,0,2,3,0,0
20140205,UNKNOWN,3,0,0,0,3,4,0,0
20140205,Taiwan Mobile Co. Ltd,2,0,0,0,2,3,0,0
20140205,T-Mobile - US,0,0,0,0,0,1,0,0
20140205,Rogers,0,0,0,0,0,1,0,0
20140205,KT,0,0,0,0,0,1,0,0
20140205,Chungwa Telecom,9,0,0,0,9,10,0,0
20140205,Airtel,0,0,0,0,0,1,0,0
20140205,AT&T,2,0,0,0,2,2,0,0
20140204,Verizon Wireless,2,0,0,0,2,3,0,0
20140204,UNKNOWN,3,0,0,0,3,4,0,0
20140204,Taiwan Mobile Co. Ltd,2,0,0,0,2,3,0,0
20140204,T-Mobile - US,0,0,0,0,0,1,0,0
20140204,Rogers,0,0,0,0,0,1,0,0
20140204,KT,0,0,0,0,0,1,0,0
20140204,Chungwa Telecom,9,0,0,0,9,10,0,0
20140204,Airtel,0,0,0,0,0,1,0,0
20140204,AT&T,2,0,0,0,2,2,0,0
20140203,Verizon Wireless,2,0,0,1,2,3,0,0
20140203,UNKNOWN,3,0,0,0,3,4,0,0
20140203,Taiwan Mobile Co. Ltd,2,0,0,0,2,3,0,0
20140203,T-Mobile - US,0,0,0,0,0,1,0,0
20140203,Rogers,0,0,0,0,0,1,0,0
20140203,KT,0,0,0,0,0,1,0,0
20140203,Chungwa Telecom,9,0,0,0,9,10,0,0
20140203,Airtel,0,0,0,0,0,1,0,0
20140203,AT&T,2,0,0,0,2,2,0,0
20140202,Verizon Wireless,2,1,1,0,2,3,1,1
20140202,UNKNOWN,3,0,0,0,3,4,0,0
20140202,Taiwan Mobile Co. Ltd,2,0,0,0,2,3,0,0
20140202,T-Mobile - US,0,0,0,0,0,1,0,0
20140202,Rogers,0,0,0,0,0,1,0,0
20140202,KT,0,0,0,0,0,1,0,0
20140202,Chungwa Telecom,9,0,0,0,9,10,0,0
20140202,Airtel,0,0,0,0,0,1,0,0
20140202,AT&T,2,0,0,0,2,2,0,0
20140201,Verizon Wireless,2,0,0,0,2,2,0,0
20140201,UNKNOWN,3,0,0,0,3,4,0,0
20140201,Taiwan Mobile Co. Ltd,2,0,0,2,2,3,0,0
20140201,T-Mobile - US,0,0,0,0,0,1,0,0
20140201,Rogers,0,0,0,0,0,1,0,0
20140201,KT,0,0,0,0,0,1,0,0
20140201,Chungwa Telecom,9,0,0,0,9,10,0,0
20140201,Airtel,0,0,0,0,0,1,0,0
