# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,carrier,daily_avg_rating,total_avg_rating
20140214,Taiwan Mobile Co. Ltd,0.0,5.0
20140214,Chungwa Telecom,0.0,5.0
20140214,Far EasTone Telecommunications,0.0,5.0
20140214,AT&T,0.0,5.0
20140214,T-Mobile - US,0.0,5.0
20140214,-1,0.0,5.0
20140213,Taiwan Mobile Co. Ltd,0.0,5.0
20140213,Chungwa Telecom,0.0,5.0
20140213,Far EasTone Telecommunications,0.0,5.0
20140213,AT&T,0.0,5.0
20140213,T-Mobile - US,0.0,5.0
20140213,-1,0.0,5.0
20140212,Taiwan Mobile Co. Ltd,0.0,5.0
20140212,Chungwa Telecom,0.0,5.0
20140212,Far EasTone Telecommunications,0.0,5.0
20140212,AT&T,0.0,5.0
20140212,T-Mobile - US,0.0,5.0
20140212,-1,0.0,5.0
20140211,Taiwan Mobile Co. Ltd,0.0,5.0
20140211,Chungwa Telecom,0.0,5.0
20140211,Far EasTone Telecommunications,0.0,5.0
20140211,AT&T,0.0,5.0
20140211,T-Mobile - US,0.0,5.0
20140211,-1,0.0,5.0
20140210,Taiwan Mobile Co. Ltd,0.0,5.0
20140210,Chungwa Telecom,0.0,5.0
20140210,Far EasTone Telecommunications,0.0,5.0
20140210,AT&T,0.0,5.0
20140210,T-Mobile - US,0.0,5.0
20140210,-1,0.0,5.0
20140209,Taiwan Mobile Co. Ltd,0.0,5.0
20140209,Chungwa Telecom,5.0,5.0
20140209,Far EasTone Telecommunications,0.0,5.0
20140209,AT&T,0.0,5.0
20140209,T-Mobile - US,0.0,5.0
20140209,-1,0.0,5.0
20140208,Taiwan Mobile Co. Ltd,0.0,5.0
20140208,Chungwa Telecom,0.0,5.0
20140208,Far EasTone Telecommunications,0.0,5.0
20140208,AT&T,0.0,5.0
20140208,T-Mobile - US,0.0,5.0
20140208,-1,0.0,5.0
20140207,Taiwan Mobile Co. Ltd,0.0,5.0
20140207,Chungwa Telecom,0.0,5.0
20140207,Far EasTone Telecommunications,0.0,5.0
20140207,AT&T,0.0,5.0
20140207,T-Mobile - US,0.0,5.0
20140207,-1,0.0,5.0
20140206,Taiwan Mobile Co. Ltd,0.0,5.0
20140206,Chungwa Telecom,0.0,5.0
20140206,Far EasTone Telecommunications,0.0,5.0
20140206,AT&T,0.0,5.0
20140206,T-Mobile - US,0.0,5.0
20140206,-1,0.0,5.0
20140205,Taiwan Mobile Co. Ltd,0.0,5.0
20140205,Chungwa Telecom,0.0,5.0
20140205,Far EasTone Telecommunications,0.0,5.0
20140205,AT&T,0.0,5.0
20140205,T-Mobile - US,0.0,5.0
20140205,-1,0.0,5.0
20140204,Taiwan Mobile Co. Ltd,0.0,5.0
20140204,Chungwa Telecom,0.0,5.0
20140204,Far EasTone Telecommunications,0.0,5.0
20140204,AT&T,0.0,5.0
20140204,T-Mobile - US,0.0,5.0
20140204,-1,0.0,5.0
