# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,country,current_device_installs,daily_device_installs,daily_device_uninstalls,daily_device_upgrades,current_user_installs,total_user_installs,daily_user_installs,daily_user_uninstalls
20140214,US,5,0,0,0,5,7,0,0
20140214,TW,13,0,0,0,13,17,0,0
20140214,KR,0,0,0,0,0,1,0,0
20140214,IN,0,0,0,0,0,1,0,0
20140214,CA,0,0,0,0,0,1,0,0
20140213,US,5,0,0,0,5,7,0,0
20140213,TW,13,0,0,0,13,17,0,0
20140213,KR,0,0,0,0,0,1,0,0
20140213,IN,0,0,0,0,0,1,0,0
20140213,CA,0,0,0,0,0,1,0,0
20140212,US,5,0,0,0,5,7,0,0
20140212,TW,13,0,0,0,13,17,0,0
20140212,KR,0,0,0,0,0,1,0,0
20140212,IN,0,0,0,0,0,1,0,0
20140212,CA,0,0,0,0,0,1,0,0
20140211,US,5,0,0,0,5,7,0,0
20140211,TW,13,0,0,0,13,17,0,0
20140211,KR,0,0,0,0,0,1,0,0
20140211,IN,0,0,0,0,0,1,0,0
20140211,CA,0,0,0,0,0,1,0,0
20140210,US,5,0,0,0,5,7,0,0
20140210,TW,13,0,0,1,13,17,0,0
20140210,KR,0,0,0,0,0,1,0,0
20140210,IN,0,0,0,0,0,1,0,0
20140210,CA,0,0,0,0,0,1,0,0
20140209,US,5,0,0,0,5,7,0,0
20140209,TW,13,1,1,1,13,17,1,1
20140209,KR,0,0,0,0,0,1,0,0
20140209,IN,0,0,0,0,0,1,0,0
20140209,CA,0,0,0,0,0,1,0,0
20140208,US,5,0,0,0,5,7,0,0
20140208,TW,13,0,0,0,13,16,0,0
20140208,KR,0,0,0,0,0,1,0,0
20140208,IN,0,0,0,0,0,1,0,0
20140208,CA,0,0,0,0,0,1,0,0
20140207,US,5,0,0,0,5,7,0,0
20140207,TW,13,0,0,0,13,16,0,0
20140207,KR,0,0,0,0,0,1,0,0
20140207,IN,0,0,0,0,0,1,0,0
20140207,CA,0,0,0,0,0,1,0,0
20140206,US,5,0,0,0,5,7,0,0
20140206,TW,13,0,0,0,13,16,0,0
20140206,KR,0,0,0,0,0,1,0,0
20140206,IN,0,0,0,0,0,1,0,0
20140206,CA,0,0,0,0,0,1,0,0
20140205,US,5,0,0,0,5,7,0,0
20140205,TW,13,0,0,0,13,16,0,0
20140205,KR,0,0,0,0,0,1,0,0
20140205,IN,0,0,0,0,0,1,0,0
20140205,CA,0,0,0,0,0,1,0,0
20140204,US,5,0,0,0,5,7,0,0
20140204,TW,13,0,0,0,13,16,0,0
20140204,KR,0,0,0,0,0,1,0,0
20140204,IN,0,0,0,0,0,1,0,0
20140204,CA,0,0,0,0,0,1,0,0
20140203,US,5,0,0,1,5,7,0,0
20140203,TW,13,0,0,0,13,16,0,0
20140203,KR,0,0,0,0,0,1,0,0
20140203,IN,0,0,0,0,0,1,0,0
20140203,CA,0,0,0,0,0,1,0,0
20140202,US,5,1,1,0,5,7,1,1
20140202,TW,13,0,0,0,13,16,0,0
20140202,KR,0,0,0,0,0,1,0,0
20140202,IN,0,0,0,0,0,1,0,0
20140202,CA,0,0,0,0,0,1,0,0
20140201,US,5,0,0,0,5,6,0,0
20140201,TW,13,0,0,2,13,16,0,0
20140201,KR,0,0,0,0,0,1,0,0
20140201,IN,0,0,0,0,0,1,0,0
20140201,CA,0,0,0,0,0,1,0,0
20140131,US,5,0,0,1,5,6,0,0
20140131,TW,13,0,0,4,13,16,0,0
20140131,KR,0,0,0,0,0,1,0,0
20140131,IN,0,0,0,0,0,1,0,0
20140131,CA,0,0,0,0,0,1,0,0
20140130,US,4,0,0,3,4,6,0,0
20140130,TW,13,0,0,1,13,16,0,0
20140130,KR,0,0,0,0,0,1,0,0
20140130,IN,0,0,0,0,0,1,0,0
20140130,CA,0,0,0,0,0,1,0,0
20140129,US,4,0,1,0,4,6,0,1
20140129,TW,13,1,0,0,13,16,1,0
20140129,KR,0,0,0,0,0,1,0,0
20140129,IN,0,0,0,0,0,1,0,0
20140129,CA,0,0,1,0,0,1,0,1
20140128,US,5,0,0,0,5,6,0,0
20140128,TW,12,0,1,0,12,15,0,1
20140128,KR,0,0,0,0,0,1,0,0
20140128,IN,0,0,0,0,0,1,0,0
20140128,CA,1,0,0,0,1,1,0,0
20140127,US,5,0,0,0,5,6,0,0
20140127,TW,13,2,0,0,13,15,2,0
