# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,country,daily_avg_rating,total_avg_rating
20140214,US,0.0,5.0
20140214,TW,0.0,5.0
20140213,US,0.0,5.0
20140213,TW,0.0,5.0
20140212,US,0.0,5.0
20140212,TW,0.0,5.0
20140211,US,0.0,5.0
20140211,TW,0.0,5.0
20140210,US,0.0,5.0
20140210,TW,0.0,5.0
20140209,US,0.0,5.0
20140209,TW,5.0,5.0
20140208,US,0.0,5.0
20140208,TW,0.0,5.0
20140207,US,0.0,5.0
20140207,TW,0.0,5.0
20140206,US,0.0,5.0
20140206,TW,0.0,5.0
20140205,US,0.0,5.0
20140205,TW,0.0,5.0
20140204,US,0.0,5.0
20140204,TW,0.0,5.0
20140203,US,0.0,5.0
20140203,TW,0.0,5.0
20140202,US,0.0,5.0
20140202,TW,0.0,5.0
20140201,US,0.0,5.0
20140201,TW,0.0,5.0
20140131,US,0.0,5.0
20140131,TW,0.0,5.0
20140130,US,0.0,5.0
20140130,TW,0.0,5.0
20140129,US,0.0,5.0
20140129,TW,0.0,5.0
20140128,US,0.0,5.0
20140128,TW,0.0,5.0
20140127,US,0.0,5.0
20140127,TW,5.0,5.0
20140126,US,0.0,5.0
20140126,TW,0.0,5.0
20140125,US,0.0,5.0
20140125,TW,0.0,5.0
20140124,US,0.0,5.0
20140124,TW,0.0,5.0
20140123,US,0.0,5.0
20140123,TW,0.0,5.0
20140122,US,0.0,5.0
20140122,TW,0.0,5.0
20140121,US,0.0,5.0
20140121,TW,5.0,5.0
20140120,US,0.0,5.0
20140120,TW,0.0,5.0
20140119,US,0.0,5.0
20140119,TW,0.0,5.0
20140118,US,0.0,5.0
20140118,TW,0.0,5.0
20140117,US,0.0,5.0
20140117,TW,5.0,5.0
