# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,device,current_device_installs,daily_device_installs,daily_device_uninstalls,daily_device_upgrades,current_user_installs,total_user_installs,daily_user_installs,daily_user_uninstalls
20140214,HTC HTC J Z321e (valentewxc9),1,0,0,0,1,1,0,0
20140214,Samsung Galaxy Note II (t03g),1,0,0,0,1,1,0,0
20140214,Google Nexus 4 (mako),1,0,0,0,1,1,0,0
20140214,HTC HTC One (m7),2,0,0,0,2,2,0,0
20140214,Samsung Galaxy S3 (m0),1,0,0,0,1,1,0,0
20140214,Samsung Galaxy S4 (ja3g),2,0,0,0,2,2,0,0
20140214,Samsung Galaxy S3 Mini (goldenltevzw),1,0,0,0,1,1,0,0
20140214,Samsung Galaxy Tab2 7.0 (espressorf),0,0,0,0,0,1,0,0
20140214,HTC HTC One X (endeavoru),1,0,0,0,1,1,0,0
20140214,HTC HTC Butterfly (dlxub1),2,0,0,0,2,2,0,0
20140214,HTC HTC 9060 (dlxpul),1,0,0,0,1,1,0,0
20140214,Samsung Galaxy Win (delos3geur),0,0,0,0,0,1,0,0
20140214,HTC HTC_7060 (cp5dug),0,0,0,0,0,1,0,0
20140214,Motorola Droid II (cdma_droid2we),1,0,0,0,1,1,0,0
20140214,HTC Desire (bravo),0,0,0,0,0,1,0,0
20140214,Samsung Galaxy S2 (SHW-M250K),0,0,0,0,0,1,0,0
20140214,Samsung Galaxy Proclaim (SCH-S720C),0,0,0,0,0,1,0,0
20140214,Sony Ericsson Xperia SL (LT26ii),1,0,0,0,1,1,0,0
20140214,Sony Ericsson LT18i (LT18i),0,0,0,0,0,1,0,0
20140214,Samsung Galaxy S2 (GT-I9100),1,0,0,0,1,1,0,0
20140214,Sony Ericsson Xperia Z (C6602),2,0,0,0,2,2,0,0
20140214,Sony Ericsson Xperia L (C2105),0,0,0,0,0,1,0,0
20140214,C1904,0,0,0,0,0,1,0,0
20140213,HTC HTC J Z321e (valentewxc9),1,0,0,0,1,1,0,0
20140213,Samsung Galaxy Note II (t03g),1,0,0,0,1,1,0,0
20140213,Google Nexus 4 (mako),1,0,0,0,1,1,0,0
20140213,HTC HTC One (m7),2,0,0,0,2,2,0,0
20140213,Samsung Galaxy S3 (m0),1,0,0,0,1,1,0,0
20140213,Samsung Galaxy S4 (ja3g),2,0,0,0,2,2,0,0
20140213,Samsung Galaxy S3 Mini (goldenltevzw),1,0,0,0,1,1,0,0
20140213,Samsung Galaxy Tab2 7.0 (espressorf),0,0,0,0,0,1,0,0
20140213,HTC HTC One X (endeavoru),1,0,0,0,1,1,0,0
20140213,HTC HTC Butterfly (dlxub1),2,0,0,0,2,2,0,0
20140213,HTC HTC 9060 (dlxpul),1,0,0,0,1,1,0,0
20140213,Samsung Galaxy Win (delos3geur),0,0,0,0,0,1,0,0
20140213,HTC HTC_7060 (cp5dug),0,0,0,0,0,1,0,0
20140213,Motorola Droid II (cdma_droid2we),1,0,0,0,1,1,0,0
20140213,HTC Desire (bravo),0,0,0,0,0,1,0,0
20140213,Samsung Galaxy S2 (SHW-M250K),0,0,0,0,0,1,0,0
20140213,Samsung Galaxy Proclaim (SCH-S720C),0,0,0,0,0,1,0,0
20140213,Sony Ericsson Xperia SL (LT26ii),1,0,0,0,1,1,0,0
20140213,Sony Ericsson LT18i (LT18i),0,0,0,0,0,1,0,0
20140213,Samsung Galaxy S2 (GT-I9100),1,0,0,0,1,1,0,0
20140213,Sony Ericsson Xperia Z (C6602),2,0,0,0,2,2,0,0
20140213,Sony Ericsson Xperia L (C2105),0,0,0,0,0,1,0,0
20140213,C1904,0,0,0,0,0,1,0,0
20140212,HTC HTC J Z321e (valentewxc9),1,0,0,0,1,1,0,0
20140212,Samsung Galaxy Note II (t03g),1,0,0,0,1,1,0,0
20140212,Google Nexus 4 (mako),1,0,0,0,1,1,0,0
20140212,HTC HTC One (m7),2,0,0,0,2,2,0,0
20140212,Samsung Galaxy S3 (m0),1,0,0,0,1,1,0,0
20140212,Samsung Galaxy S4 (ja3g),2,0,0,0,2,2,0,0
20140212,Samsung Galaxy S3 Mini (goldenltevzw),1,0,0,0,1,1,0,0
20140212,Samsung Galaxy Tab2 7.0 (espressorf),0,0,0,0,0,1,0,0
20140212,HTC HTC One X (endeavoru),1,0,0,0,1,1,0,0
20140212,HTC HTC Butterfly (dlxub1),2,0,0,0,2,2,0,0
20140212,HTC HTC 9060 (dlxpul),1,0,0,0,1,1,0,0
20140212,Samsung Galaxy Win (delos3geur),0,0,0,0,0,1,0,0
20140212,HTC HTC_7060 (cp5dug),0,0,0,0,0,1,0,0
20140212,Motorola Droid II (cdma_droid2we),1,0,0,0,1,1,0,0
20140212,HTC Desire (bravo),0,0,0,0,0,1,0,0
20140212,Samsung Galaxy S2 (SHW-M250K),0,0,0,0,0,1,0,0
20140212,Samsung Galaxy Proclaim (SCH-S720C),0,0,0,0,0,1,0,0
20140212,Sony Ericsson Xperia SL (LT26ii),1,0,0,0,1,1,0,0
20140212,Sony Ericsson LT18i (LT18i),0,0,0,0,0,1,0,0
20140212,Samsung Galaxy S2 (GT-I9100),1,0,0,0,1,1,0,0
20140212,Sony Ericsson Xperia Z (C6602),2,0,0,0,2,2,0,0
20140212,Sony Ericsson Xperia L (C2105),0,0,0,0,0,1,0,0
20140212,C1904,0,0,0,0,0,1,0,0
20140211,HTC HTC J Z321e (valentewxc9),1,0,0,0,1,1,0,0
20140211,Samsung Galaxy Note II (t03g),1,0,0,0,1,1,0,0
20140211,Google Nexus 4 (mako),1,0,0,0,1,1,0,0
20140211,HTC HTC One (m7),2,0,0,0,2,2,0,0
20140211,Samsung Galaxy S3 (m0),1,0,0,0,1,1,0,0
20140211,Samsung Galaxy S4 (ja3g),2,0,0,0,2,2,0,0
20140211,Samsung Galaxy S3 Mini (goldenltevzw),1,0,0,0,1,1,0,0
20140211,Samsung Galaxy Tab2 7.0 (espressorf),0,0,0,0,0,1,0,0
20140211,HTC HTC One X (endeavoru),1,0,0,0,1,1,0,0
20140211,HTC HTC Butterfly (dlxub1),2,0,0,0,2,2,0,0
20140211,HTC HTC 9060 (dlxpul),1,0,0,0,1,1,0,0
20140211,Samsung Galaxy Win (delos3geur),0,0,0,0,0,1,0,0
20140211,HTC HTC_7060 (cp5dug),0,0,0,0,0,1,0,0
20140211,Motorola Droid II (cdma_droid2we),1,0,0,0,1,1,0,0
20140211,HTC Desire (bravo),0,0,0,0,0,1,0,0
20140211,Samsung Galaxy S2 (SHW-M250K),0,0,0,0,0,1,0,0
20140211,Samsung Galaxy Proclaim (SCH-S720C),0,0,0,0,0,1,0,0
20140211,Sony Ericsson Xperia SL (LT26ii),1,0,0,0,1,1,0,0
20140211,Sony Ericsson LT18i (LT18i),0,0,0,0,0,1,0,0
20140211,Samsung Galaxy S2 (GT-I9100),1,0,0,0,1,1,0,0
20140211,Sony Ericsson Xperia Z (C6602),2,0,0,0,2,2,0,0
20140211,Sony Ericsson Xperia L (C2105),0,0,0,0,0,1,0,0
20140211,C1904,0,0,0,0,0,1,0,0
20140210,HTC HTC J Z321e (valentewxc9),1,0,0,0,1,1,0,0
20140210,Samsung Galaxy Note II (t03g),1,0,0,0,1,1,0,0
20140210,Google Nexus 4 (mako),1,0,0,0,1,1,0,0
20140210,HTC HTC One (m7),2,0,0,0,2,2,0,0
20140210,Samsung Galaxy S3 (m0),1,0,0,0,1,1,0,0
20140210,Samsung Galaxy S4 (ja3g),2,0,0,0,2,2,0,0
20140210,Samsung Galaxy S3 Mini (goldenltevzw),1,0,0,0,1,1,0,0
20140210,Samsung Galaxy Tab2 7.0 (espressorf),0,0,0,0,0,1,0,0
20140210,HTC HTC One X (endeavoru),1,0,0,0,1,1,0,0
20140210,HTC HTC Butterfly (dlxub1),2,0,0,0,2,2,0,0
20140210,HTC HTC 9060 (dlxpul),1,0,0,0,1,1,0,0
20140210,Samsung Galaxy Win (delos3geur),0,0,0,0,0,1,0,0
20140210,HTC HTC_7060 (cp5dug),0,0,0,0,0,1,0,0
20140210,Motorola Droid II (cdma_droid2we),1,0,0,0,1,1,0,0
20140210,HTC Desire (bravo),0,0,0,0,0,1,0,0
20140210,Samsung Galaxy S2 (SHW-M250K),0,0,0,0,0,1,0,0
20140210,Samsung Galaxy Proclaim (SCH-S720C),0,0,0,0,0,1,0,0
20140210,Sony Ericsson Xperia SL (LT26ii),1,0,0,0,1,1,0,0
20140210,Sony Ericsson LT18i (LT18i),0,0,0,0,0,1,0,0
20140210,Samsung Galaxy S2 (GT-I9100),1,0,0,1,1,1,0,0
20140210,Sony Ericsson Xperia Z (C6602),2,0,0,0,2,2,0,0
20140210,Sony Ericsson Xperia L (C2105),0,0,0,0,0,1,0,0
20140210,C1904,0,0,0,0,0,1,0,0
20140209,HTC HTC J Z321e (valentewxc9),1,0,0,0,1,1,0,0
20140209,Samsung Galaxy Note II (t03g),1,0,0,0,1,1,0,0
20140209,Google Nexus 4 (mako),1,0,0,0,1,1,0,0
20140209,HTC HTC One (m7),2,0,0,0,2,2,0,0
20140209,Samsung Galaxy S3 (m0),1,0,0,0,1,1,0,0
20140209,Samsung Galaxy S4 (ja3g),2,0,0,0,2,2,0,0
20140209,Samsung Galaxy S3 Mini (goldenltevzw),1,0,0,0,1,1,0,0
20140209,Samsung Galaxy Tab2 7.0 (espressorf),0,0,0,0,0,1,0,0
20140209,HTC HTC One X (endeavoru),1,0,0,0,1,1,0,0
20140209,HTC HTC Butterfly (dlxub1),2,0,0,0,2,2,0,0
20140209,HTC HTC 9060 (dlxpul),1,0,0,0,1,1,0,0
20140209,Samsung Galaxy Win (delos3geur),0,0,0,0,0,1,0,0
20140209,HTC HTC_7060 (cp5dug),0,0,0,0,0,1,0,0
20140209,Motorola Droid II (cdma_droid2we),1,0,0,0,1,1,0,0
20140209,HTC Desire (bravo),0,0,0,0,0,1,0,0
20140209,Samsung Galaxy S2 (SHW-M250K),0,0,0,0,0,1,0,0
20140209,Samsung Galaxy Proclaim (SCH-S720C),0,0,0,0,0,1,0,0
20140209,Sony Ericsson Xperia SL (LT26ii),1,1,0,0,1,1,1,0
20140209,Sony Ericsson LT18i (LT18i),0,0,1,1,0,1,0,1
20140209,Samsung Galaxy S2 (GT-I9100),1,0,0,0,1,1,0,0
20140209,Sony Ericsson Xperia Z (C6602),2,0,0,0,2,2,0,0
20140209,Sony Ericsson Xperia L (C2105),0,0,0,0,0,1,0,0
20140209,C1904,0,0,0,0,0,1,0,0
20140208,HTC HTC J Z321e (valentewxc9),1,0,0,0,1,1,0,0
20140208,Samsung Galaxy Note II (t03g),1,0,0,0,1,1,0,0
20140208,Google Nexus 4 (mako),1,0,0,0,1,1,0,0
20140208,HTC HTC One (m7),2,0,0,0,2,2,0,0
20140208,Samsung Galaxy S3 (m0),1,0,0,0,1,1,0,0
20140208,Samsung Galaxy S4 (ja3g),2,0,0,0,2,2,0,0
20140208,Samsung Galaxy S3 Mini (goldenltevzw),1,0,0,0,1,1,0,0
20140208,Samsung Galaxy Tab2 7.0 (espressorf),0,0,0,0,0,1,0,0
20140208,HTC HTC One X (endeavoru),1,0,0,0,1,1,0,0
20140208,HTC HTC Butterfly (dlxub1),2,0,0,0,2,2,0,0
20140208,HTC HTC 9060 (dlxpul),1,0,0,0,1,1,0,0
20140208,Samsung Galaxy Win (delos3geur),0,0,0,0,0,1,0,0
20140208,HTC HTC_7060 (cp5dug),0,0,0,0,0,1,0,0
20140208,Motorola Droid II (cdma_droid2we),1,0,0,0,1,1,0,0
20140208,HTC Desire (bravo),0,0,0,0,0,1,0,0
20140208,Samsung Galaxy S2 (SHW-M250K),0,0,0,0,0,1,0,0
20140208,Samsung Galaxy Proclaim (SCH-S720C),0,0,0,0,0,1,0,0
20140208,Sony Ericsson LT18i (LT18i),1,0,0,0,1,1,0,0
20140208,Samsung Galaxy S2 (GT-I9100),1,0,0,0,1,1,0,0
20140208,Sony Ericsson Xperia Z (C6602),2,0,0,0,2,2,0,0
20140208,Sony Ericsson Xperia L (C2105),0,0,0,0,0,1,0,0
20140208,C1904,0,0,0,0,0,1,0,0
20140207,HTC HTC J Z321e (valentewxc9),1,0,0,0,1,1,0,0
20140207,Samsung Galaxy Note II (t03g),1,0,0,0,1,1,0,0
20140207,Google Nexus 4 (mako),1,0,0,0,1,1,0,0
20140207,HTC HTC One (m7),2,0,0,0,2,2,0,0
20140207,Samsung Galaxy S3 (m0),1,0,0,0,1,1,0,0
20140207,Samsung Galaxy S4 (ja3g),2,0,0,0,2,2,0,0
20140207,Samsung Galaxy S3 Mini (goldenltevzw),1,0,0,0,1,1,0,0
20140207,Samsung Galaxy Tab2 7.0 (espressorf),0,0,0,0,0,1,0,0
20140207,HTC HTC One X (endeavoru),1,0,0,0,1,1,0,0
20140207,HTC HTC Butterfly (dlxub1),2,0,0,0,2,2,0,0
20140207,HTC HTC 9060 (dlxpul),1,0,0,0,1,1,0,0
20140207,Samsung Galaxy Win (delos3geur),0,0,0,0,0,1,0,0
20140207,HTC HTC_7060 (cp5dug),0,0,0,0,0,1,0,0
20140207,Motorola Droid II (cdma_droid2we),1,0,0,0,1,1,0,0
20140207,HTC Desire (bravo),0,0,0,0,0,1,0,0
20140207,Samsung Galaxy S2 (SHW-M250K),0,0,0,0,0,1,0,0
20140207,Samsung Galaxy Proclaim (SCH-S720C),0,0,0,0,0,1,0,0
20140207,Sony Ericsson LT18i (LT18i),1,0,0,0,1,1,0,0
20140207,Samsung Galaxy S2 (GT-I9100),1,0,0,0,1,1,0,0
20140207,Sony Ericsson Xperia Z (C6602),2,0,0,0,2,2,0,0
20140207,Sony Ericsson Xperia L (C2105),0,0,0,0,0,1,0,0
20140207,C1904,0,0,0,0,0,1,0,0
20140206,HTC HTC J Z321e (valentewxc9),1,0,0,0,1,1,0,0
20140206,Samsung Galaxy Note II (t03g),1,0,0,0,1,1,0,0
20140206,Google Nexus 4 (mako),1,0,0,0,1,1,0,0
20140206,HTC HTC One (m7),2,0,0,0,2,2,0,0
20140206,Samsung Galaxy S3 (m0),1,0,0,0,1,1,0,0
20140206,Samsung Galaxy S4 (ja3g),2,0,0,0,2,2,0,0
20140206,Samsung Galaxy S3 Mini (goldenltevzw),1,0,0,0,1,1,0,0
20140206,Samsung Galaxy Tab2 7.0 (espressorf),0,0,0,0,0,1,0,0
20140206,HTC HTC One X (endeavoru),1,0,0,0,1,1,0,0
20140206,HTC HTC Butterfly (dlxub1),2,0,0,0,2,2,0,0
20140206,HTC HTC 9060 (dlxpul),1,0,0,0,1,1,0,0
20140206,Samsung Galaxy Win (delos3geur),0,0,0,0,0,1,0,0
20140206,HTC HTC_7060 (cp5dug),0,0,0,0,0,1,0,0
20140206,Motorola Droid II (cdma_droid2we),1,0,0,0,1,1,0,0
20140206,HTC Desire (bravo),0,0,0,0,0,1,0,0
20140206,Samsung Galaxy S2 (SHW-M250K),0,0,0,0,0,1,0,0
20140206,Samsung Galaxy Proclaim (SCH-S720C),0,0,0,0,0,1,0,0
