# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,device,daily_avg_rating,total_avg_rating
20140214,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140214,Samsung Galaxy Note II (t03g),0.0,5.0
20140214,Google Nexus 4 (mako),0.0,5.0
20140214,HTC HTC One (m7),0.0,5.0
20140214,Samsung Galaxy S3 (m0),0.0,5.0
20140214,Samsung Galaxy S4 (ja3g),0.0,5.0
20140214,HTC HTC One X (endeavoru),0.0,5.0
20140214,HTC HTC Butterfly (dlxub1),0.0,5.0
20140214,HTC HTC_7060 (cp5dug),0.0,5.0
20140214,Sony Ericsson Xperia SL (LT26ii),0.0,5.0
20140214,Sony Ericsson LT18i (LT18i),0.0,5.0
20140214,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140214,Sony Ericsson Xperia Z1 (C6902),0.0,5.0
20140214,C1904,0.0,5.0
20140213,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140213,Samsung Galaxy Note II (t03g),0.0,5.0
20140213,Google Nexus 4 (mako),0.0,5.0
20140213,HTC HTC One (m7),0.0,5.0
20140213,Samsung Galaxy S3 (m0),0.0,5.0
20140213,Samsung Galaxy S4 (ja3g),0.0,5.0
20140213,HTC HTC One X (endeavoru),0.0,5.0
20140213,HTC HTC Butterfly (dlxub1),0.0,5.0
20140213,HTC HTC_7060 (cp5dug),0.0,5.0
20140213,Sony Ericsson Xperia SL (LT26ii),0.0,5.0
20140213,Sony Ericsson LT18i (LT18i),0.0,5.0
20140213,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140213,Sony Ericsson Xperia Z1 (C6902),0.0,5.0
20140213,C1904,0.0,5.0
20140212,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140212,Samsung Galaxy Note II (t03g),0.0,5.0
20140212,Google Nexus 4 (mako),0.0,5.0
20140212,HTC HTC One (m7),0.0,5.0
20140212,Samsung Galaxy S3 (m0),0.0,5.0
20140212,Samsung Galaxy S4 (ja3g),0.0,5.0
20140212,HTC HTC One X (endeavoru),0.0,5.0
20140212,HTC HTC Butterfly (dlxub1),0.0,5.0
20140212,HTC HTC_7060 (cp5dug),0.0,5.0
20140212,Sony Ericsson Xperia SL (LT26ii),0.0,5.0
20140212,Sony Ericsson LT18i (LT18i),0.0,5.0
20140212,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140212,Sony Ericsson Xperia Z1 (C6902),0.0,5.0
20140212,C1904,0.0,5.0
20140211,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140211,Samsung Galaxy Note II (t03g),0.0,5.0
20140211,Google Nexus 4 (mako),0.0,5.0
20140211,HTC HTC One (m7),0.0,5.0
20140211,Samsung Galaxy S3 (m0),0.0,5.0
20140211,Samsung Galaxy S4 (ja3g),0.0,5.0
20140211,HTC HTC One X (endeavoru),0.0,5.0
20140211,HTC HTC Butterfly (dlxub1),0.0,5.0
20140211,HTC HTC_7060 (cp5dug),0.0,5.0
20140211,Sony Ericsson Xperia SL (LT26ii),0.0,5.0
20140211,Sony Ericsson LT18i (LT18i),0.0,5.0
20140211,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140211,Sony Ericsson Xperia Z1 (C6902),0.0,5.0
20140211,C1904,0.0,5.0
20140210,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140210,Samsung Galaxy Note II (t03g),0.0,5.0
20140210,Google Nexus 4 (mako),0.0,5.0
20140210,HTC HTC One (m7),0.0,5.0
20140210,Samsung Galaxy S3 (m0),0.0,5.0
20140210,Samsung Galaxy S4 (ja3g),0.0,5.0
20140210,HTC HTC One X (endeavoru),0.0,5.0
20140210,HTC HTC Butterfly (dlxub1),0.0,5.0
20140210,HTC HTC_7060 (cp5dug),0.0,5.0
20140210,Sony Ericsson Xperia SL (LT26ii),0.0,5.0
20140210,Sony Ericsson LT18i (LT18i),0.0,5.0
20140210,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140210,Sony Ericsson Xperia Z1 (C6902),0.0,5.0
20140210,C1904,0.0,5.0
20140209,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140209,Samsung Galaxy Note II (t03g),0.0,5.0
20140209,Google Nexus 4 (mako),0.0,5.0
20140209,HTC HTC One (m7),0.0,5.0
20140209,Samsung Galaxy S3 (m0),0.0,5.0
20140209,Samsung Galaxy S4 (ja3g),0.0,5.0
20140209,HTC HTC One X (endeavoru),0.0,5.0
20140209,HTC HTC Butterfly (dlxub1),0.0,5.0
20140209,HTC HTC_7060 (cp5dug),0.0,5.0
20140209,Sony Ericsson Xperia SL (LT26ii),5.0,5.0
20140209,Sony Ericsson LT18i (LT18i),0.0,5.0
20140209,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140209,Sony Ericsson Xperia Z1 (C6902),0.0,5.0
20140209,C1904,0.0,5.0
20140208,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140208,Samsung Galaxy Note II (t03g),0.0,5.0
20140208,Google Nexus 4 (mako),0.0,5.0
20140208,HTC HTC One (m7),0.0,5.0
20140208,Samsung Galaxy S3 (m0),0.0,5.0
20140208,Samsung Galaxy S4 (ja3g),0.0,5.0
20140208,HTC HTC One X (endeavoru),0.0,5.0
20140208,HTC HTC Butterfly (dlxub1),0.0,5.0
20140208,HTC HTC_7060 (cp5dug),0.0,5.0
20140208,Sony Ericsson LT18i (LT18i),0.0,5.0
20140208,Samsung Galaxy S2 (GT-I9100),0.0,5.0
