# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,language,current_device_installs,daily_device_installs,daily_device_uninstalls,daily_device_upgrades,current_user_installs,total_user_installs,daily_user_installs,daily_user_uninstalls
20140214,zh_TW,13,0,0,0,13,17,0,0
20140214,en_US,5,0,0,0,5,8,0,0
20140214,en_TW,0,0,0,0,0,1,0,0
20140214,en_GB,0,0,0,0,0,1,0,0
20140213,zh_TW,13,0,0,0,13,17,0,0
20140213,en_US,5,0,0,0,5,8,0,0
20140213,en_TW,0,0,0,0,0,1,0,0
20140213,en_GB,0,0,0,0,0,1,0,0
20140212,zh_TW,13,0,0,0,13,17,0,0
20140212,en_US,5,0,0,0,5,8,0,0
20140212,en_TW,0,0,0,0,0,1,0,0
20140212,en_GB,0,0,0,0,0,1,0,0
20140211,zh_TW,13,0,0,0,13,17,0,0
20140211,en_US,5,0,0,0,5,8,0,0
20140211,en_TW,0,0,0,0,0,1,0,0
20140211,en_GB,0,0,0,0,0,1,0,0
20140210,zh_TW,13,0,0,0,13,17,0,0
20140210,en_US,5,0,0,1,5,8,0,0
20140210,en_TW,0,0,0,0,0,1,0,0
20140210,en_GB,0,0,0,0,0,1,0,0
20140209,zh_TW,13,1,1,1,13,17,1,1
20140209,en_US,5,0,0,0,5,8,0,0
20140209,en_TW,0,0,0,0,0,1,0,0
20140209,en_GB,0,0,0,0,0,1,0,0
20140208,zh_TW,13,0,0,0,13,16,0,0
20140208,en_US,5,0,0,0,5,8,0,0
20140208,en_TW,0,0,0,0,0,1,0,0
20140208,en_GB,0,0,0,0,0,1,0,0
20140207,zh_TW,13,0,0,0,13,16,0,0
20140207,en_US,5,0,0,0,5,8,0,0
20140207,en_TW,0,0,0,0,0,1,0,0
20140207,en_GB,0,0,0,0,0,1,0,0
20140206,zh_TW,13,0,0,0,13,16,0,0
20140206,en_US,5,0,0,0,5,8,0,0
20140206,en_TW,0,0,0,0,0,1,0,0
20140206,en_GB,0,0,0,0,0,1,0,0
20140205,zh_TW,13,0,0,0,13,16,0,0
20140205,en_US,5,0,0,0,5,8,0,0
20140205,en_TW,0,0,0,0,0,1,0,0
20140205,en_GB,0,0,0,0,0,1,0,0
20140204,zh_TW,13,0,0,0,13,16,0,0
20140204,en_US,5,0,0,0,5,8,0,0
20140204,en_TW,0,0,0,0,0,1,0,0
20140204,en_GB,0,0,0,0,0,1,0,0
20140203,zh_TW,13,0,0,0,13,16,0,0
20140203,en_US,5,0,0,1,5,8,0,0
20140203,en_TW,0,0,0,0,0,1,0,0
20140203,en_GB,0,0,0,0,0,1,0,0
20140202,zh_TW,13,0,0,0,13,16,0,0
20140202,en_US,5,1,1,0,5,8,1,1
20140202,en_TW,0,0,0,0,0,1,0,0
20140202,en_GB,0,0,0,0,0,1,0,0
20140201,zh_TW,13,0,0,2,13,16,0,0
20140201,en_US,5,0,0,0,5,7,0,0
20140201,en_TW,0,0,0,0,0,1,0,0
20140201,en_GB,0,0,0,0,0,1,0,0
20140131,zh_TW,13,0,0,4,13,16,0,0
20140131,en_US,5,0,0,1,5,7,0,0
20140131,en_TW,0,0,0,0,0,1,0,0
20140131,en_GB,0,0,0,0,0,1,0,0
20140130,zh_TW,13,0,0,2,13,16,0,0
20140130,en_US,4,0,0,2,4,7,0,0
20140130,en_TW,0,0,0,0,0,1,0,0
20140130,en_GB,0,0,0,0,0,1,0,0
20140129,zh_TW,13,1,0,0,13,16,1,0
20140129,en_US,4,0,1,0,4,7,0,1
20140129,en_TW,0,0,1,0,0,1,0,1
20140129,en_GB,0,0,0,0,0,1,0,0
20140128,zh_TW,12,0,1,0,12,15,0,1
20140128,en_US,5,0,0,0,5,7,0,0
20140128,en_TW,1,0,0,0,1,1,0,0
20140128,en_GB,0,0,0,0,0,1,0,0
20140127,zh_TW,13,2,0,0,13,15,2,0
20140127,en_US,5,0,0,0,5,7,0,0
20140127,en_TW,1,0,0,0,1,1,0,0
20140127,en_GB,0,0,0,0,0,1,0,0
20140126,zh_TW,11,2,1,0,11,13,2,1
20140126,en_US,5,0,0,0,5,7,0,0
20140126,en_TW,1,0,0,0,1,1,0,0
20140126,en_GB,0,0,0,0,0,1,0,0
20140125,zh_TW,10,1,1,0,10,11,1,1
20140125,en_US,5,0,0,0,5,7,0,0
20140125,en_TW,1,0,0,0,1,1,0,0
20140125,en_GB,0,0,0,0,0,1,0,0
20140124,zh_TW,10,0,0,0,10,10,0,0
20140124,en_US,5,0,0,0,5,7,0,0
20140124,en_TW,1,0,0,0,1,1,0,0
20140124,en_GB,0,0,0,0,0,1,0,0
20140123,zh_TW,10,0,0,0,10,10,0,0
20140123,en_US,5,0,0,0,5,7,0,0
20140123,en_TW,1,0,0,0,1,1,0,0
20140123,en_GB,0,0,0,0,0,1,0,0
20140122,zh_TW,10,0,0,0,10,10,0,0
20140122,en_US,5,0,0,0,5,7,0,0
20140122,en_TW,1,0,0,0,1,1,0,0
20140122,en_GB,0,0,0,0,0,1,0,0
20140121,zh_TW,10,2,0,0,10,10,2,0
20140121,en_US,5,0,0,0,5,7,0,0
20140121,en_TW,1,0,0,0,1,1,0,0
20140121,en_GB,0,0,0,0,0,1,0,0
20140120,zh_TW,8,1,0,0,8,8,1,0
20140120,en_US,5,0,0,0,5,7,0,0
20140120,en_TW,1,0,0,0,1,1,0,0
20140120,en_GB,0,0,1,0,0,1,0,1
20140119,zh_TW,7,1,0,0,7,7,1,0
20140119,en_US,5,1,1,0,5,7,1,1
20140119,en_TW,1,0,0,0,1,1,0,0
20140119,en_GB,1,1,0,0,1,1,1,0
20140118,zh_TW,6,0,0,0,6,6,0,0
20140118,en_US,5,0,0,0,5,6,0,0
20140118,en_TW,1,0,0,0,1,1,0,0
20140117,zh_TW,6,2,0,0,6,6,2,0
