# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,language,daily_avg_rating,total_avg_rating
20140214,zh,0.0,5.0
20140214,en,0.0,5.0
20140213,zh,0.0,5.0
20140213,en,0.0,5.0
20140212,zh,0.0,5.0
20140212,en,0.0,5.0
20140211,zh,0.0,5.0
20140211,en,0.0,5.0
20140210,zh,0.0,5.0
20140210,en,0.0,5.0
20140209,zh,5.0,5.0
20140209,en,0.0,5.0
20140208,zh,0.0,5.0
20140208,en,0.0,5.0
20140207,zh,0.0,5.0
20140207,en,0.0,5.0
20140206,zh,0.0,5.0
20140206,en,0.0,5.0
20140205,zh,0.0,5.0
20140205,en,0.0,5.0
20140204,zh,0.0,5.0
20140204,en,0.0,5.0
20140203,zh,0.0,5.0
20140203,en,0.0,5.0
20140202,zh,0.0,5.0
20140202,en,0.0,5.0
20140201,zh,0.0,5.0
20140201,en,0.0,5.0
20140131,zh,0.0,5.0
20140131,en,0.0,5.0
20140130,zh,0.0,5.0
20140130,en,0.0,5.0
20140129,zh,0.0,5.0
20140129,en,0.0,5.0
20140128,zh,0.0,5.0
20140128,en,0.0,5.0
20140127,zh,5.0,5.0
20140127,en,0.0,5.0
20140126,zh,0.0,5.0
20140126,en,0.0,5.0
20140125,zh,0.0,5.0
20140125,en,0.0,5.0
20140124,zh,0.0,5.0
20140124,en,0.0,5.0
20140123,zh,0.0,5.0
20140123,en,0.0,5.0
20140122,zh,0.0,5.0
20140122,en,0.0,5.0
20140121,zh,5.0,5.0
20140121,en,0.0,5.0
20140120,zh,0.0,5.0
20140120,en,0.0,5.0
20140119,zh,0.0,5.0
20140119,en,0.0,5.0
20140118,zh,0.0,5.0
20140118,en,0.0,5.0
20140117,zh,5.0,5.0
20140117,en,0.0,5.0
