# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,os_version,current_device_installs,daily_device_installs,daily_device_uninstalls,daily_device_upgrades,current_user_installs,total_user_installs,daily_user_installs,daily_user_uninstalls
20140214,Android 2.2,0,0,0,0,0,1,0,0
20140214,Android 4.4,1,0,0,0,1,1,0,0
20140214,Android 4.3,7,0,0,0,7,7,0,0
20140214,Android 4.2,2,0,0,0,2,3,0,0
20140214,Android 4.1,6,0,0,0,6,10,0,0
20140214,Android 4.0.3 - 4.0.4,1,0,0,0,1,2,0,0
20140214,Android 2.3.3 - 2.3.7,1,0,0,0,1,3,0,0
20140213,Android 2.2,0,0,0,0,0,1,0,0
20140213,Android 4.4,1,0,0,0,1,1,0,0
20140213,Android 4.3,7,0,0,0,7,7,0,0
20140213,Android 4.2,2,0,0,0,2,3,0,0
20140213,Android 4.1,6,0,0,0,6,10,0,0
20140213,Android 4.0.3 - 4.0.4,1,0,0,0,1,2,0,0
20140213,Android 2.3.3 - 2.3.7,1,0,0,0,1,3,0,0
20140212,Android 2.2,0,0,0,0,0,1,0,0
20140212,Android 4.4,1,0,0,0,1,1,0,0
20140212,Android 4.3,7,0,0,0,7,7,0,0
20140212,Android 4.2,2,0,0,0,2,3,0,0
20140212,Android 4.1,6,0,0,0,6,10,0,0
20140212,Android 4.0.3 - 4.0.4,1,0,0,0,1,2,0,0
20140212,Android 2.3.3 - 2.3.7,1,0,0,0,1,3,0,0
20140211,Android 2.2,0,0,0,0,0,1,0,0
20140211,Android 4.4,1,0,0,0,1,1,0,0
20140211,Android 4.3,7,0,0,0,7,7,0,0
20140211,Android 4.2,2,0,0,0,2,3,0,0
20140211,Android 4.1,6,0,0,0,6,10,0,0
20140211,Android 4.0.3 - 4.0.4,1,0,0,0,1,2,0,0
20140211,Android 2.3.3 - 2.3.7,1,0,0,0,1,3,0,0
20140210,Android 2.2,0,0,0,0,0,1,0,0
20140210,Android 4.4,1,0,0,0,1,1,0,0
20140210,Android 4.3,7,0,0,0,7,7,0,0
20140210,Android 4.2,2,0,0,0,2,3,0,0
20140210,Android 4.1,6,0,0,1,6,10,0,0
20140210,Android 4.0.3 - 4.0.4,1,0,0,0,1,2,0,0
20140210,Android 2.3.3 - 2.3.7,1,0,0,0,1,3,0,0
20140209,Android 2.2,0,0,0,0,0,1,0,0
20140209,Android 4.4,1,0,0,0,1,1,0,0
20140209,Android 4.3,7,0,0,0,7,7,0,0
20140209,Android 4.2,2,0,0,0,2,3,0,0
20140209,Android 4.1,6,0,0,0,6,10,0,0
20140209,Android 4.0.3 - 4.0.4,1,1,1,1,1,2,1,1
20140209,Android 2.3.3 - 2.3.7,1,0,0,0,1,3,0,0
20140208,Android 2.2,0,0,0,0,0,1,0,0
20140208,Android 4.4,1,0,0,0,1,1,0,0
20140208,Android 4.3,7,0,0,0,7,7,0,0
20140208,Android 4.2,2,0,0,0,2,3,0,0
20140208,Android 4.1,6,0,0,0,6,10,0,0
20140208,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140208,Android 2.3.3 - 2.3.7,1,0,0,0,1,3,0,0
20140207,Android 2.2,0,0,0,0,0,1,0,0
20140207,Android 4.4,1,0,0,0,1,1,0,0
20140207,Android 4.3,7,0,0,0,7,7,0,0
20140207,Android 4.2,2,0,0,0,2,3,0,0
20140207,Android 4.1,6,0,0,0,6,10,0,0
20140207,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140207,Android 2.3.3 - 2.3.7,1,0,0,0,1,3,0,0
20140206,Android 2.2,0,0,0,0,0,1,0,0
20140206,Android 4.4,1,0,0,0,1,1,0,0
20140206,Android 4.3,7,0,0,0,7,7,0,0
20140206,Android 4.2,2,0,0,0,2,3,0,0
20140206,Android 4.1,6,0,0,0,6,10,0,0
20140206,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140206,Android 2.3.3 - 2.3.7,1,0,0,0,1,3,0,0
20140205,Android 2.2,0,0,0,0,0,1,0,0
20140205,Android 4.4,1,0,0,0,1,1,0,0
20140205,Android 4.3,7,0,0,0,7,7,0,0
20140205,Android 4.2,2,0,0,0,2,3,0,0
20140205,Android 4.1,6,0,0,0,6,10,0,0
20140205,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140205,Android 2.3.3 - 2.3.7,1,0,0,0,1,3,0,0
20140204,Android 2.2,0,0,0,0,0,1,0,0
20140204,Android 4.4,1,0,0,0,1,1,0,0
20140204,Android 4.3,7,0,0,0,7,7,0,0
20140204,Android 4.2,2,0,0,0,2,3,0,0
20140204,Android 4.1,6,0,0,0,6,10,0,0
20140204,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140204,Android 2.3.3 - 2.3.7,1,0,0,0,1,3,0,0
20140203,Android 2.2,0,0,0,0,0,1,0,0
20140203,Android 4.4,1,0,0,0,1,1,0,0
20140203,Android 4.3,7,0,0,0,7,7,0,0
20140203,Android 4.2,2,0,0,1,2,3,0,0
20140203,Android 4.1,6,0,0,0,6,10,0,0
20140203,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140203,Android 2.3.3 - 2.3.7,1,0,0,0,1,3,0,0
20140202,Android 2.2,0,0,0,0,0,1,0,0
20140202,Android 4.4,1,0,0,0,1,1,0,0
20140202,Android 4.3,7,0,0,0,7,7,0,0
20140202,Android 4.2,2,0,0,0,2,3,0,0
20140202,Android 4.1,6,0,0,0,6,10,0,0
20140202,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140202,Android 2.3.3 - 2.3.7,1,1,1,0,1,3,1,1
20140201,Android 2.2,0,0,0,0,0,1,0,0
20140201,Android 4.4,1,0,0,0,1,1,0,0
20140201,Android 4.3,7,0,0,2,7,7,0,0
20140201,Android 4.2,2,0,0,0,2,3,0,0
20140201,Android 4.1,6,0,0,0,6,10,0,0
20140201,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140201,Android 2.3.3 - 2.3.7,1,0,0,0,1,2,0,0
20140131,Android 2.2,0,0,0,0,0,1,0,0
20140131,Android 4.4,1,0,0,0,1,1,0,0
20140131,Android 4.3,7,0,0,3,7,7,0,0
20140131,Android 4.2,2,0,0,0,2,3,0,0
20140131,Android 4.1,6,0,0,2,6,10,0,0
20140131,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140131,Android 2.3.3 - 2.3.7,1,0,0,0,1,2,0,0
20140130,Android 2.2,0,0,0,0,0,1,0,0
20140130,Android 4.4,1,0,0,0,1,1,0,0
20140130,Android 4.3,7,0,0,0,7,7,0,0
20140130,Android 4.2,2,0,0,1,2,3,0,0
20140130,Android 4.1,5,0,0,2,5,10,0,0
20140130,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
