# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,current_device_installs,daily_device_installs,daily_device_uninstalls,daily_device_upgrades,current_user_installs,total_user_installs,daily_user_installs,daily_user_uninstalls
20140214,18,0,0,0,18,27,0,0
20140213,18,0,0,0,18,27,0,0
20140212,18,0,0,0,18,27,0,0
20140211,18,0,0,0,18,27,0,0
20140210,18,0,0,1,18,27,0,0
20140209,18,1,1,1,18,27,1,1
20140208,18,0,0,0,18,26,0,0
20140207,18,0,0,0,18,26,0,0
20140206,18,0,0,0,18,26,0,0
20140205,18,0,0,0,18,26,0,0
20140204,18,0,0,0,18,26,0,0
20140203,18,0,0,1,18,26,0,0
20140202,18,1,1,0,18,26,1,1
20140201,18,0,0,2,18,25,0,0
20140131,18,0,0,5,18,25,0,0
20140130,17,0,0,4,17,25,0,0
20140129,17,1,2,0,17,25,1,2
20140128,18,0,1,0,18,24,0,1
20140127,19,2,0,0,19,24,2,0
20140126,17,2,1,0,17,22,2,1
20140125,16,1,1,0,16,20,1,1
20140124,16,0,0,0,16,19,0,0
20140123,16,0,0,0,16,19,0,0
20140122,16,0,0,0,16,19,0,0
20140121,16,2,0,0,16,19,2,0
20140120,14,1,1,0,14,17,1,1
20140119,14,3,1,0,14,16,3,1
20140118,12,0,0,0,12,13,0,0
20140117,12,4,0,0,12,13,4,0
20140116,8,9,1,0,8,9,9,1
