# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,daily_avg_rating,total_avg_rating
20140214,0.0,5.0
20140213,0.0,5.0
20140212,0.0,5.0
20140211,0.0,5.0
20140210,0.0,5.0
20140209,5.0,5.0
20140208,0.0,5.0
20140207,0.0,5.0
20140206,0.0,5.0
20140205,0.0,5.0
20140204,0.0,5.0
20140203,0.0,5.0
20140202,0.0,5.0
20140201,0.0,5.0
20140131,0.0,5.0
20140130,0.0,5.0
20140129,0.0,5.0
20140128,0.0,5.0
20140127,5.0,5.0
20140126,0.0,5.0
20140125,0.0,5.0
20140124,0.0,5.0
20140123,0.0,5.0
20140122,0.0,5.0
20140121,5.0,5.0
20140120,0.0,5.0
20140119,0.0,5.0
20140118,0.0,5.0
20140117,5.0,5.0
